id,key,category,expression,unit,source_type,enforce_level,reference
5e23d0dc-8d31-49bc-80aa-0e99b4ededc7,VOID_DEDUCTION_FORMWORK,GEOMETRY,5.00,mÂ²,GUIDANCE,MINIMUM,NRM2 Part 2 Measurement Rules
c7271f44-7c87-4352-9a16-01d5f404a47b,VOID_DEDUCTION_MASONRY,GEOMETRY,0.50,mÂ²,GUIDANCE,MINIMUM,NRM2 Part 2 Measurement Rules
0b280e85-844c-44f5-a9fd-0cc8dae0945b,WASTE_CARPET,WASTE,1.15,ratio,GUIDANCE,DEFAULT_ONLY,
2b9d4daf-bc37-4f7d-a375-6306dd7b3736,WASTE_CONCRETE,WASTE,1.05,ratio,GUIDANCE,DEFAULT_ONLY,
c7a87e38-118f-47aa-84d5-6e8f2523b855,WASTE_MASONRY,WASTE,1.07,ratio,GUIDANCE,DEFAULT_ONLY,
5e21b7ac-16df-4abe-9021-172305f1a983,WASTE_PLASTERBOARD,WASTE,1.10,ratio,GUIDANCE,DEFAULT_ONLY,
9696b8b2-df80-4728-b6bd-9cd4e66e0977,WASTE_ROOF_METAL,WASTE,1.05,ratio,GUIDANCE,DEFAULT_ONLY,
f5860424-2ad9-45de-a98c-0b7b488659b1,WASTE_ROOF_TILES,WASTE,1.08,ratio,GUIDANCE,DEFAULT_ONLY,
6c889cb4-f3a4-48e8-b1ef-3bc18963952e,WASTE_TILES,WASTE,1.10,ratio,GUIDANCE,DEFAULT_ONLY,
e8cc9563-82a5-402c-bcd8-4e5dbf105462,WASTE_TIMBER,WASTE,1.10,ratio,GUIDANCE,DEFAULT_ONLY,
7013faa0-00d2-4c2f-97e2-85df58afbe34,WATERPROOF_BATH_WALL_HEIGHT,WATERPROOFING,150,mm,NCC_DTS,MINIMUM,NCC Part 10.2 / AS 3740
fd1c241f-e11b-4730-8b0b-9b222dbc969b,WATERPROOF_FLOOR_AREA,WATERPROOFING,(BATHROOM_COUNT * 6) + (ENSUITE_COUNT * 4) + 6,mÂ²,HEURISTIC,DEFAULT_ONLY,
f790b3e5-1aff-48a7-8eda-e85759e548bd,WATERPROOF_SHOWER_WALL_HEIGHT,WATERPROOFING,1800,mm,NCC_DTS,MINIMUM,NCC Part 10.2 / AS 3740
00ed70be-f3ab-45a1-867d-1b432b3d351f,WATERPROOF_WALL_AREA,WATERPROOFING,((BATHROOM_COUNT + ENSUITE_COUNT) * 3.2 * 1.8) + (BATHROOM_COUNT * 2),mÂ²,HEURISTIC,DEFAULT_ONLY,
8f89b8ed-563c-4f79-9142-b2c485cf1043,WIND_CLASS,INPUTS,N2,enum,HEURISTIC,DEFAULT_ONLY,
976aa1e4-d3ad-4ad8-80f8-15a412767a9d,WIND_CLASS_DEFAULT,WIND,N2,enum,HEURISTIC,DEFAULT_ONLY,
2744583e-52f1-44d1-89cb-80673952df9c,WINDOW_AREA_DEFAULT,GEOMETRY,EXTERNAL_WALL_AREA_GROSS * 0.15,mÂ²,HEURISTIC,DEFAULT_ONLY,
f874e17f-9913-4cfa-806a-d296b1c501ac,WINDOW_FALL_DROP_TRIGGER,BARRIERS,2000,mm,NCC_DTS,MINIMUM,NCC Part 11.3
94b05ede-21a3-45ea-85e0-bc667523c5fa,WINDOW_RESTRICTOR_TRIGGER,BARRIERS,1700,mm,NCC_DTS,MINIMUM,NCC Part 11.3
